year,primary_type,description,location_description,district,arrest,Num_Occurance
2020,BATTERY,DOMESTIC BATTERY SIMPLE,CHA APARTMENT,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,1,True,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,CHA PARKING LOT / GROUNDS,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,11,False,2
2020,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,12,False,1
2020,ASSAULT,SIMPLE,CHA APARTMENT,12,False,1
2020,ASSAULT,SIMPLE,"SCHOOL, PUBLIC, BUILDING",12,False,1
2020,ASSAULT,SIMPLE,RESIDENCE,12,False,1
2020,ASSAULT,SIMPLE,GOVERNMENT BUILDING/PROPERTY,1,False,1
2020,ASSAULT,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),12,False,1
2020,THEFT,$500 AND UNDER,STREET,12,False,1
2020,THEFT,$500 AND UNDER,APARTMENT,11,False,1
2020,BATTERY,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,APARTMENT,1,True,1
2020,ROBBERY,ARMED - OTHER DANGEROUS WEAPON,SIDEWALK,12,False,1
2020,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,"SCHOOL, PUBLIC, GROUNDS",12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,1,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,12,True,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,CHA APARTMENT,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,12,False,2
2020,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,11,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,CHA APARTMENT,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,PARKING LOT/GARAGE(NON.RESID.),12,True,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE - PORCH / HALLWAY,11,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,CHA APARTMENT,12,True,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,11,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,1,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,10,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,HOSPITAL BUILDING / GROUNDS,12,True,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,12,False,1
2020,ASSAULT,SIMPLE,APARTMENT,12,False,1
2020,ASSAULT,SIMPLE,RESTAURANT,12,False,1
2020,THEFT,$500 AND UNDER,CHA APARTMENT,12,False,1
2020,THEFT,$500 AND UNDER,RESTAURANT,12,False,1
2020,THEFT,FROM BUILDING,APARTMENT,11,False,1
2020,CRIMINAL DAMAGE,TO VEHICLE,STREET,12,False,1
2020,BATTERY,AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY,RESIDENCE,12,False,1
2020,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,STREET,12,False,1
2020,ASSAULT,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,CHA PARKING LOT / GROUNDS,12,False,1
2020,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,VEHICLE NON-COMMERCIAL,11,False,1
2020,SEX OFFENSE,SEXUAL EXPLOITATION OF A CHILD,APARTMENT,12,False,1
2020,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT OVER $ 300,OTHER,12,False,1
2020,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,APARTMENT,12,False,1
2020,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,APARTMENT,12,False,1
2020,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,APARTMENT,1,False,1
2020,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,11,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,11,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,OTHER (SPECIFY),12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,HOSPITAL BUILDING/GROUNDS,12,True,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,11,True,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,CHA APARTMENT,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,RESTAURANT,1,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,1,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,12,True,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,11,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,11,False,2
2020,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,12,True,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),1,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,12,True,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,12,False,1
2020,ASSAULT,SIMPLE,STREET,1,False,1
2020,ASSAULT,SIMPLE,PARKING LOT / GARAGE (NON RESIDENTIAL),12,False,1
2020,ASSAULT,SIMPLE,RESIDENCE,12,True,1
2020,ASSAULT,SIMPLE,STREET,12,False,1
2020,THEFT,$500 AND UNDER,RESIDENCE,12,False,1
2020,MOTOR VEHICLE THEFT,AUTOMOBILE,APARTMENT,12,False,1
2020,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,11,False,1
2020,CRIMINAL DAMAGE,TO PROPERTY,CHA APARTMENT,12,False,1
2020,CRIMINAL DAMAGE,TO VEHICLE,STREET,12,False,1
2020,BATTERY,AGGRAVATED DOMESTIC BATTERY - OTHER DANGEROUS WEAPON,STREET,12,False,1
2020,BATTERY,AGGRAVATED DOMESTIC BATTERY: KNIFE/CUTTING INST,APARTMENT,11,False,1
2020,BATTERY,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,CHA PARKING LOT / GROUNDS,12,False,1
2020,BATTERY,AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY,ALLEY,11,False,1
2020,CRIMINAL DAMAGE,TO STATE SUP PROP,CHA APARTMENT,12,False,1
2020,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,APARTMENT,12,False,1
2020,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,RESIDENCE,12,False,1
2020,BATTERY,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,APARTMENT,12,False,1
2020,ROBBERY,STRONGARM - NO WEAPON,APARTMENT,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,HOSPITAL BUILDING/GROUNDS,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,CHA APARTMENT,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,1,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,CHA APARTMENT,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,1,True,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,CHA APARTMENT,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,12,True,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,11,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,12,True,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,RESTAURANT,12,False,1
2020,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,12,False,1
2020,ASSAULT,SIMPLE,OTHER,1,False,1
2020,ASSAULT,SIMPLE,RESIDENCE,12,False,1
2020,ASSAULT,SIMPLE,APARTMENT,12,False,1
2020,ASSAULT,SIMPLE,RESIDENCE,12,False,1
2020,ASSAULT,SIMPLE,RESIDENCE,12,False,1
2020,THEFT,OVER $500,RESIDENCE,12,False,1
2020,CRIMINAL DAMAGE,TO PROPERTY,CHA APARTMENT,12,False,2
2019,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,APARTMENT,12,False,1
2019,OFFENSE INVOLVING CHILDREN,CHILD ABUSE,HOSPITAL BUILDING/GROUNDS,12,False,1
2019,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,APARTMENT,12,False,1
2019,CRIMINAL DAMAGE,TO STATE SUP PROP,CHA APARTMENT,12,False,1
2019,BATTERY,AGGRAVATED OF A SENIOR CITIZEN,SIDEWALK,1,True,1
2019,PUBLIC PEACE VIOLATION,FALSE POLICE REPORT,POLICE FACILITY/VEH PARKING LOT,12,False,1
2019,CRIMINAL DAMAGE,TO STATE SUP PROP,APARTMENT,12,False,1
2019,STALKING,SIMPLE,STREET,1,True,1
2019,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,APARTMENT,12,False,1
2019,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,STREET,12,False,1
2019,CRIM SEXUAL ASSAULT,PREDATORY,RESIDENCE,12,False,1
2019,ASSAULT,AGGRAVATED:KNIFE/CUTTING INSTR,APARTMENT,11,False,1
2019,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,12,True,1
2019,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,RESIDENCE,12,False,1
2019,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,APARTMENT,12,False,1
2019,OFFENSE INVOLVING CHILDREN,AGG CRIM SEX ABUSE FAM MEMBER,RESIDENCE,12,False,1
2019,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,12,False,1
2019,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,APARTMENT,11,False,1
2019,BATTERY,AGGRAVATED DOMESTIC BATTERY: HANDS/FIST/FEET SERIOUS INJURY,RESIDENCE,12,True,1
2019,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,CHA APARTMENT,12,False,1
2019,BATTERY,AGGRAVATED DOMESTIC BATTERY: OTHER DANG WEAPON,RESIDENCE,11,False,1
2019,OFFENSE INVOLVING CHILDREN,OTHER OFFENSE,POLICE FACILITY/VEH PARKING LOT,12,False,1
2019,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,12,False,1
2019,ROBBERY,ARMED: HANDGUN,RESIDENCE,12,False,1
2019,BATTERY,SIMPLE,APARTMENT,12,False,2
2019,BATTERY,SIMPLE,OTHER,1,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,12,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,12,True,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,12,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,CHA APARTMENT,12,False,2
2019,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,1,True,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,12,True,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,12,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,ALLEY,12,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,12,True,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENTIAL YARD (FRONT/BACK),12,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,11,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,11,False,2
2019,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,12,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,GOVERNMENT BUILDING/PROPERTY,1,True,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,12,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,OTHER,12,True,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,1,False,2
2019,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,11,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,ALLEY,1,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,OTHER,1,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,12,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,12,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,12,False,3
2019,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,12,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,12,False,2
2019,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,11,False,2
2019,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,12,False,2
2019,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,12,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,12,True,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,12,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,CHA APARTMENT,12,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,TAVERN/LIQUOR STORE,12,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,12,True,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,12,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,12,True,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,12,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,12,True,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,CHA APARTMENT,12,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,12,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,1,True,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,12,False,2
2019,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,11,True,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,12,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,11,False,4
2019,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,12,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,12,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,12,True,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,VEHICLE NON-COMMERCIAL,1,True,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,12,True,2
2019,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,12,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,12,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,SPORTS ARENA/STADIUM,12,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,12,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,11,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,12,False,3
2019,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,12,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,12,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE-GARAGE,12,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,12,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,CHA PARKING LOT/GROUNDS,12,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,PARKING LOT/GARAGE(NON.RESID.),12,False,2
2019,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,12,False,2
2019,BATTERY,DOMESTIC BATTERY SIMPLE,PARKING LOT/GARAGE(NON.RESID.),12,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,1,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,12,True,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,11,True,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,1,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,CHA APARTMENT,12,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,12,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,CHA APARTMENT,12,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,12,True,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,12,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,12,True,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,12,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,12,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,12,False,3
2019,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,12,False,2
2019,BATTERY,DOMESTIC BATTERY SIMPLE,"SCHOOL, PRIVATE, BUILDING",12,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,12,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,11,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,12,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,11,True,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,12,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,12,True,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,12,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,12,True,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,12,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,CHA APARTMENT,11,False,1
2019,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,12,False,1
2019,ASSAULT,AGGRAVATED: HANDGUN,RESIDENCE,11,False,1
2019,ASSAULT,AGGRAVATED: HANDGUN,APARTMENT,12,True,1
2019,ASSAULT,AGGRAVATED: HANDGUN,APARTMENT,12,True,1
2019,ASSAULT,AGGRAVATED: HANDGUN,APARTMENT,12,True,1
2019,ASSAULT,AGGRAVATED: HANDGUN,APARTMENT,12,True,1
2019,ASSAULT,SIMPLE,APARTMENT,11,False,1
2019,ASSAULT,SIMPLE,GOVERNMENT BUILDING/PROPERTY,12,False,1
2019,ASSAULT,SIMPLE,APARTMENT,12,False,1
2019,ASSAULT,SIMPLE,APARTMENT,12,False,1
2019,ASSAULT,SIMPLE,SIDEWALK,12,False,1
2019,ASSAULT,SIMPLE,OTHER,12,False,1
2019,ASSAULT,SIMPLE,RESIDENCE,12,False,1
2019,ASSAULT,SIMPLE,RESIDENCE,12,False,1
2019,ASSAULT,SIMPLE,STREET,12,False,1
2019,ASSAULT,SIMPLE,RESIDENCE,12,False,1
2019,ASSAULT,SIMPLE,STREET,12,False,1
2019,ASSAULT,SIMPLE,RESTAURANT,11,False,1
2019,ASSAULT,SIMPLE,RESIDENCE,1,False,1
2019,ASSAULT,SIMPLE,OTHER,12,False,1
2019,ASSAULT,SIMPLE,STREET,12,False,1
2019,ASSAULT,SIMPLE,GOVERNMENT BUILDING/PROPERTY,1,False,3
2019,ASSAULT,SIMPLE,APARTMENT,12,False,1
2019,ASSAULT,SIMPLE,APARTMENT,12,False,1
2019,ASSAULT,SIMPLE,SIDEWALK,12,False,1
2019,THEFT,OVER $500,RESIDENCE,11,False,1
2019,THEFT,OVER $500,STREET,12,False,1
2019,THEFT,OVER $500,RESIDENCE,12,False,1
2019,THEFT,$500 AND UNDER,CHA PARKING LOT/GROUNDS,12,False,1
2019,THEFT,$500 AND UNDER,PAWN SHOP,11,False,1
2019,THEFT,$500 AND UNDER,STREET,12,True,1
2019,THEFT,$500 AND UNDER,SIDEWALK,12,False,1
2019,THEFT,$500 AND UNDER,APARTMENT,12,False,1
2019,THEFT,$500 AND UNDER,APARTMENT,12,False,1
2019,THEFT,$500 AND UNDER,APARTMENT,12,False,1
2019,THEFT,$500 AND UNDER,APARTMENT,12,False,1
2019,THEFT,$500 AND UNDER,APARTMENT,12,False,2
2019,THEFT,$500 AND UNDER,CTA PLATFORM,12,False,1
2019,THEFT,$500 AND UNDER,RESIDENCE,11,False,1
2019,THEFT,FROM BUILDING,APARTMENT,12,False,1
2019,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,11,False,1
2019,CRIMINAL DAMAGE,TO PROPERTY,CHA APARTMENT,12,False,2
2019,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,12,False,1
2019,CRIMINAL DAMAGE,TO PROPERTY,VEHICLE NON-COMMERCIAL,12,False,1
2019,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,12,False,1
2019,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,12,False,1
2019,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),12,False,1
2019,CRIMINAL DAMAGE,TO VEHICLE,STREET,12,False,1
2019,CRIMINAL DAMAGE,TO VEHICLE,STREET,12,False,1
2019,CRIMINAL DAMAGE,TO VEHICLE,OTHER (SPECIFY),12,False,1
2019,CRIMINAL DAMAGE,TO VEHICLE,STREET,12,False,1
2019,CRIMINAL DAMAGE,TO VEHICLE,STREET,1,True,1
2019,CRIMINAL DAMAGE,TO VEHICLE,APARTMENT,11,False,1
2019,CRIMINAL DAMAGE,TO VEHICLE,STREET,12,False,1
2019,CRIMINAL DAMAGE,TO VEHICLE,STREET,12,False,1
2019,CRIMINAL DAMAGE,TO VEHICLE,STREET,11,False,1
2019,CRIMINAL DAMAGE,TO VEHICLE,STREET,1,False,1
2019,CRIMINAL DAMAGE,TO VEHICLE,STREET,12,False,2
2019,CRIMINAL DAMAGE,TO VEHICLE,STREET,12,True,1
2019,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,12,True,1
